Sample name,title,source name,organism,idat file,characteristics: tissue,characteristics: donor,characteristics: vaccination group,characteristics: vaccination time,characteristics: time after immunization,characteristics: number of SIV challenge to infection,molecule,label,description,platform
P162_P838_post3rd,post-3rd immunization blood sample from donor P838,Blood sample from donor P838,Macaca mulatta,9252621085_K_Grn.idat,Blood,P838,ALVAC-SIV/gp120/Alum,post-3rd immunization,24 hours,1,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV/gp120/Alum boosting (week 12),GPL10558
P162_P839_post1st,post-1st immunization blood sample from donor P839,Blood sample from donor P839,Macaca mulatta,9231092091_B_Grn.idat,Blood,P839,ALVAC-SIV/gp120/Alum,post-1st immunization,24 hours,2,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
P162_P839_prevax,pre-vaccination blood sample from donor P839,Blood sample from donor P839,Macaca mulatta,9252621074_C_Grn.idat,Blood,P839,ALVAC-SIV/gp120/Alum,pre-vaccination,pre,2,total RNA,biotin,pre-vaccination blood transcriptional profilling,GPL10558
P162_P839_post3rd,post-3rd immunization blood sample from donor P839,Blood sample from donor P839,Macaca mulatta,9252621091_K_Grn.idat,Blood,P839,ALVAC-SIV/gp120/Alum,post-3rd immunization,24 hours,2,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV/gp120/Alum boosting (week 12),GPL10558
P162_P842_post1st,post-1st immunization blood sample from donor P842,Blood sample from donor P842,Macaca mulatta,9231092020_F_Grn.idat,Blood,P842,ALVAC-SIV/gp120/Alum,post-1st immunization,24 hours,neg,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
P162_P842_prevax,pre-vaccination blood sample from donor P842,Blood sample from donor P842,Macaca mulatta,9252621077_J_Grn.idat,Blood,P842,ALVAC-SIV/gp120/Alum,pre-vaccination,pre,neg,total RNA,biotin,pre-vaccination blood transcriptional profilling,GPL10558
P162_P842_post3rd,post-3rd immunization blood sample from donor P842,Blood sample from donor P842,Macaca mulatta,9252621091_F_Grn.idat,Blood,P842,ALVAC-SIV/gp120/Alum,post-3rd immunization,24 hours,neg,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV/gp120/Alum boosting (week 12),GPL10558
P162_P843_post1st,post-1st immunization blood sample from donor P843,Blood sample from donor P843,Macaca mulatta,9231092001_B_Grn.idat,Blood,P843,ALVAC-SIV/gp120/Alum,post-1st immunization,24 hours,1,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
P162_P843_prevax,pre-vaccination blood sample from donor P843,Blood sample from donor P843,Macaca mulatta,9252621085_B_Grn.idat,Blood,P843,ALVAC-SIV/gp120/Alum,pre-vaccination,pre,1,total RNA,biotin,pre-vaccination blood transcriptional profilling,GPL10558
P162_P843_post3rd,post-3rd immunization blood sample from donor P843,Blood sample from donor P843,Macaca mulatta,9236415053_F_Grn.idat,Blood,P843,ALVAC-SIV/gp120/Alum,post-3rd immunization,24 hours,1,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV/gp120/Alum boosting (week 12),GPL10558
P162_P847_post1st,post-1st immunization blood sample from donor P847,Blood sample from donor P847,Macaca mulatta,9236415053_C_Grn.idat,Blood,P847,ALVAC-SIV/gp120/Alum,post-1st immunization,24 hours,2,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
P162_P847_prevax,pre-vaccination blood sample from donor P847,Blood sample from donor P847,Macaca mulatta,9252621060_F_Grn.idat,Blood,P847,ALVAC-SIV/gp120/Alum,pre-vaccination,pre,2,total RNA,biotin,pre-vaccination blood transcriptional profilling,GPL10558
P162_P847_post3rd,post-3rd immunization blood sample from donor P847,Blood sample from donor P847,Macaca mulatta,9231092091_F_Grn.idat,Blood,P847,ALVAC-SIV/gp120/Alum,post-3rd immunization,24 hours,2,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV/gp120/Alum boosting (week 12),GPL10558
P162_P852_post1st,post-1st immunization blood sample from donor P852,Blood sample from donor P852,Macaca mulatta,9252621091_H_Grn.idat,Blood,P852,ALVAC-SIV/gp120/Alum,post-1st immunization,24 hours,7,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
P162_P852_prevax,pre-vaccination blood sample from donor P852,Blood sample from donor P852,Macaca mulatta,9236415053_I_Grn.idat,Blood,P852,ALVAC-SIV/gp120/Alum,pre-vaccination,pre,7,total RNA,biotin,pre-vaccination blood transcriptional profilling,GPL10558
P162_P852_post3rd,post-3rd immunization blood sample from donor P852,Blood sample from donor P852,Macaca mulatta,9252621085_H_Grn.idat,Blood,P852,ALVAC-SIV/gp120/Alum,post-3rd immunization,24 hours,7,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV/gp120/Alum boosting (week 12),GPL10558
P162_P853_post1st,post-1st immunization blood sample from donor P853,Blood sample from donor P853,Macaca mulatta,9252621090_E_Grn.idat,Blood,P853,ALVAC-SIV/gp120/Alum,post-1st immunization,24 hours,5,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
P162_P853_prevax,pre-vaccination blood sample from donor P853,Blood sample from donor P853,Macaca mulatta,9231092091_C_Grn.idat,Blood,P853,ALVAC-SIV/gp120/Alum,pre-vaccination,pre,5,total RNA,biotin,pre-vaccination blood transcriptional profilling,GPL10558
P162_P853_post3rd,post-3rd immunization blood sample from donor P853,Blood sample from donor P853,Macaca mulatta,9252621060_C_Grn.idat,Blood,P853,ALVAC-SIV/gp120/Alum,post-3rd immunization,24 hours,5,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV/gp120/Alum boosting (week 12),GPL10558
P162_P857_post1st,post-1st immunization blood sample from donor P857,Blood sample from donor P857,Macaca mulatta,9231092108_A_Grn.idat,Blood,P857,ALVAC-SIV/gp120/Alum,post-1st immunization,24 hours,3,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
P162_P857_prevax,pre-vaccination blood sample from donor P857,Blood sample from donor P857,Macaca mulatta,9231092016_G_Grn.idat,Blood,P857,ALVAC-SIV/gp120/Alum,pre-vaccination,pre,3,total RNA,biotin,pre-vaccination blood transcriptional profilling,GPL10558
P162_P857_post3rd,post-3rd immunization blood sample from donor P857,Blood sample from donor P857,Macaca mulatta,9252621090_H_Grn.idat,Blood,P857,ALVAC-SIV/gp120/Alum,post-3rd immunization,24 hours,3,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV/gp120/Alum boosting (week 12),GPL10558
P162_P858_post1st,post-1st immunization blood sample from donor P858,Blood sample from donor P858,Macaca mulatta,9252621090_K_Grn.idat,Blood,P858,ALVAC-SIV/gp120/Alum,post-1st immunization,24 hours,1,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
P162_P858_prevax,pre-vaccination blood sample from donor P858,Blood sample from donor P858,Macaca mulatta,9231092020_J_Grn.idat,Blood,P858,ALVAC-SIV/gp120/Alum,pre-vaccination,pre,1,total RNA,biotin,pre-vaccination blood transcriptional profilling,GPL10558
P162_P858_post3rd,post-3rd immunization blood sample from donor P858,Blood sample from donor P858,Macaca mulatta,9252621090_C_Grn.idat,Blood,P858,ALVAC-SIV/gp120/Alum,post-3rd immunization,24 hours,1,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV/gp120/Alum boosting (week 12),GPL10558
P162_P864_post1st,post-1st immunization blood sample from donor P864,Blood sample from donor P864,Macaca mulatta,9231092020_D_Grn.idat,Blood,P864,ALVAC-SIV/gp120/MF59,post-1st immunization,24 hours,2,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
P162_P864_prevax,pre-vaccination blood sample from donor P864,Blood sample from donor P864,Macaca mulatta,9252621085_A_Grn.idat,Blood,P864,ALVAC-SIV/gp120/MF59,pre-vaccination,pre,2,total RNA,biotin,pre-vaccination blood transcriptional profilling,GPL10558
P162_P864_post3rd,post-3rd immunization blood sample from donor P864,Blood sample from donor P864,Macaca mulatta,9231092020_I_Grn.idat,Blood,P864,ALVAC-SIV/gp120/MF59,post-3rd immunization,24 hours,2,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV/gp120/MF59 boosting (week 12),GPL10558
P162_P868_post1st,post-1st immunization blood sample from donor P868,Blood sample from donor P868,Macaca mulatta,9236415101_B_Grn.idat,Blood,P868,ALVAC-SIV/gp120/MF59,post-1st immunization,24 hours,7,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
P162_P868_prevax,pre-vaccination blood sample from donor P868,Blood sample from donor P868,Macaca mulatta,9252621077_H_Grn.idat,Blood,P868,ALVAC-SIV/gp120/MF59,pre-vaccination,pre,7,total RNA,biotin,pre-vaccination blood transcriptional profilling,GPL10558
P162_P868_post3rd,post-3rd immunization blood sample from donor P868,Blood sample from donor P868,Macaca mulatta,9231092016_F_Grn.idat,Blood,P868,ALVAC-SIV/gp120/MF59,post-3rd immunization,24 hours,7,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV/gp120/MF59 boosting (week 12),GPL10558
P162_P877_post1st,post-1st immunization blood sample from donor P877,Blood sample from donor P877,Macaca mulatta,9236415101_G_Grn.idat,Blood,P877,ALVAC-SIV/gp120/Alum,post-1st immunization,24 hours,1,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
P162_P877_prevax,pre-vaccination blood sample from donor P877,Blood sample from donor P877,Macaca mulatta,9252621074_I_Grn.idat,Blood,P877,ALVAC-SIV/gp120/Alum,pre-vaccination,pre,1,total RNA,biotin,pre-vaccination blood transcriptional profilling,GPL10558
P162_P877_post3rd,post-3rd immunization blood sample from donor P877,Blood sample from donor P877,Macaca mulatta,9252621091_A_Grn.idat,Blood,P877,ALVAC-SIV/gp120/Alum,post-3rd immunization,24 hours,1,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV/gp120/Alum boosting (week 12),GPL10558
P162_P884_post1st,post-1st immunization blood sample from donor P884,Blood sample from donor P884,Macaca mulatta,9231092016_H_Grn.idat,Blood,P884,ALVAC-SIV/gp120/Alum,post-1st immunization,24 hours,1,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
P162_P884_prevax,pre-vaccination blood sample from donor P884,Blood sample from donor P884,Macaca mulatta,9256320082_J_Grn.idat,Blood,P884,ALVAC-SIV/gp120/Alum,pre-vaccination,pre,1,total RNA,biotin,pre-vaccination blood transcriptional profilling,GPL10558
P162_P884_post3rd,post-3rd immunization blood sample from donor P884,Blood sample from donor P884,Macaca mulatta,9252621077_C_Grn.idat,Blood,P884,ALVAC-SIV/gp120/Alum,post-3rd immunization,24 hours,1,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV/gp120/Alum boosting (week 12),GPL10558
P162_P888_post1st,post-1st immunization blood sample from donor P888,Blood sample from donor P888,Macaca mulatta,9256320082_H_Grn.idat,Blood,P888,ALVAC-SIV/gp120/Alum,post-1st immunization,24 hours,neg,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
P162_P888_prevax,pre-vaccination blood sample from donor P888,Blood sample from donor P888,Macaca mulatta,9252621060_H_Grn.idat,Blood,P888,ALVAC-SIV/gp120/Alum,pre-vaccination,pre,neg,total RNA,biotin,pre-vaccination blood transcriptional profilling,GPL10558
P162_P888_post3rd,post-3rd immunization blood sample from donor P888,Blood sample from donor P888,Macaca mulatta,9252621094_E_Grn.idat,Blood,P888,ALVAC-SIV/gp120/Alum,post-3rd immunization,24 hours,neg,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV/gp120/Alum boosting (week 12),GPL10558
P162_P890_post1st,post-1st immunization blood sample from donor P890,Blood sample from donor P890,Macaca mulatta,9231092091_E_Grn.idat,Blood,P890,ALVAC-SIV/gp120/Alum,post-1st immunization,24 hours,2,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
P162_P890_prevax,pre-vaccination blood sample from donor P890,Blood sample from donor P890,Macaca mulatta,9236415101_C_Grn.idat,Blood,P890,ALVAC-SIV/gp120/Alum,pre-vaccination,pre,2,total RNA,biotin,pre-vaccination blood transcriptional profilling,GPL10558
P162_P890_post3rd,post-3rd immunization blood sample from donor P890,Blood sample from donor P890,Macaca mulatta,9252621085_I_Grn.idat,Blood,P890,ALVAC-SIV/gp120/Alum,post-3rd immunization,24 hours,2,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV/gp120/Alum boosting (week 12),GPL10558
P162_P891_post1st,post-1st immunization blood sample from donor P891,Blood sample from donor P891,Macaca mulatta,9252621094_F_Grn.idat,Blood,P891,ALVAC-SIV/gp120/MF59,post-1st immunization,24 hours,3,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
P162_P891_prevax,pre-vaccination blood sample from donor P891,Blood sample from donor P891,Macaca mulatta,9231092016_D_Grn.idat,Blood,P891,ALVAC-SIV/gp120/MF59,pre-vaccination,pre,3,total RNA,biotin,pre-vaccination blood transcriptional profilling,GPL10558
P162_P891_post3rd,post-3rd immunization blood sample from donor P891,Blood sample from donor P891,Macaca mulatta,9236415053_B_Grn.idat,Blood,P891,ALVAC-SIV/gp120/MF59,post-3rd immunization,24 hours,3,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV/gp120/MF59 boosting (week 12),GPL10558
P162_P894_post1st,post-1st immunization blood sample from donor P894,Blood sample from donor P894,Macaca mulatta,9252621074_F_Grn.idat,Blood,P894,ALVAC-SIV/gp120/Alum,post-1st immunization,24 hours,4,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
P162_P894_prevax,pre-vaccination blood sample from donor P894,Blood sample from donor P894,Macaca mulatta,9231092091_G_Grn.idat,Blood,P894,ALVAC-SIV/gp120/Alum,pre-vaccination,pre,4,total RNA,biotin,pre-vaccination blood transcriptional profilling,GPL10558
P162_P894_post3rd,post-3rd immunization blood sample from donor P894,Blood sample from donor P894,Macaca mulatta,9231092016_K_Grn.idat,Blood,P894,ALVAC-SIV/gp120/Alum,post-3rd immunization,24 hours,4,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV/gp120/Alum boosting (week 12),GPL10558
P162_P897_post1st,post-1st immunization blood sample from donor P897,Blood sample from donor P897,Macaca mulatta,9231092020_C_Grn.idat,Blood,P897,ALVAC-SIV/gp120/Alum,post-1st immunization,24 hours,neg,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
P162_P897_prevax,pre-vaccination blood sample from donor P897,Blood sample from donor P897,Macaca mulatta,9236415101_F_Grn.idat,Blood,P897,ALVAC-SIV/gp120/Alum,pre-vaccination,pre,neg,total RNA,biotin,pre-vaccination blood transcriptional profilling,GPL10558
P162_P897_post3rd,post-3rd immunization blood sample from donor P897,Blood sample from donor P897,Macaca mulatta,9252621074_L_Grn.idat,Blood,P897,ALVAC-SIV/gp120/Alum,post-3rd immunization,24 hours,neg,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV/gp120/Alum boosting (week 12),GPL10558
P162_P898_post1st,post-1st immunization blood sample from donor P898,Blood sample from donor P898,Macaca mulatta,9252621060_B_Grn.idat,Blood,P898,ALVAC-SIV/gp120/Alum,post-1st immunization,24 hours,1,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
P162_P898_prevax,pre-vaccination blood sample from donor P898,Blood sample from donor P898,Macaca mulatta,9236415101_J_Grn.idat,Blood,P898,ALVAC-SIV/gp120/Alum,pre-vaccination,pre,1,total RNA,biotin,pre-vaccination blood transcriptional profilling,GPL10558
P162_P898_post3rd,post-3rd immunization blood sample from donor P898,Blood sample from donor P898,Macaca mulatta,9256320082_D_Grn.idat,Blood,P898,ALVAC-SIV/gp120/Alum,post-3rd immunization,24 hours,1,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV/gp120/Alum boosting (week 12),GPL10558
P162_P899_post1st,post-1st immunization blood sample from donor P899,Blood sample from donor P899,Macaca mulatta,9252621077_A_Grn.idat,Blood,P899,ALVAC-SIV/gp120/Alum,post-1st immunization,24 hours,10,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
P162_P899_prevax,pre-vaccination blood sample from donor P899,Blood sample from donor P899,Macaca mulatta,9252621060_G_Grn.idat,Blood,P899,ALVAC-SIV/gp120/Alum,pre-vaccination,pre,10,total RNA,biotin,pre-vaccination blood transcriptional profilling,GPL10558
P162_P899_post3rd,post-3rd immunization blood sample from donor P899,Blood sample from donor P899,Macaca mulatta,9252621085_L_Grn.idat,Blood,P899,ALVAC-SIV/gp120/Alum,post-3rd immunization,24 hours,10,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV/gp120/Alum boosting (week 12),GPL10558
P162_P901_post1st,post-1st immunization blood sample from donor P901,Blood sample from donor P901,Macaca mulatta,9252621074_B_Grn.idat,Blood,P901,ALVAC-SIV/gp120/Alum,post-1st immunization,24 hours,1,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
P162_P901_prevax,pre-vaccination blood sample from donor P901,Blood sample from donor P901,Macaca mulatta,9231092016_A_Grn.idat,Blood,P901,ALVAC-SIV/gp120/Alum,pre-vaccination,pre,1,total RNA,biotin,pre-vaccination blood transcriptional profilling,GPL10558
P162_P901_post3rd,post-3rd immunization blood sample from donor P901,Blood sample from donor P901,Macaca mulatta,9252621091_J_Grn.idat,Blood,P901,ALVAC-SIV/gp120/Alum,post-3rd immunization,24 hours,1,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV/gp120/Alum boosting (week 12),GPL10558
P162_R155_post1st,post-1st immunization blood sample from donor R155,Blood sample from donor R155,Macaca mulatta,9256320082_A_Grn.idat,Blood,R155,ALVAC-SIV/gp120/MF59,post-1st immunization,24 hours,2,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
P162_R155_prevax,pre-vaccination blood sample from donor R155,Blood sample from donor R155,Macaca mulatta,9252621085_E_Grn.idat,Blood,R155,ALVAC-SIV/gp120/MF59,pre-vaccination,pre,2,total RNA,biotin,pre-vaccination blood transcriptional profilling,GPL10558
P162_R155_post3rd,post-3rd immunization blood sample from donor R155,Blood sample from donor R155,Macaca mulatta,9236415101_L_Grn.idat,Blood,R155,ALVAC-SIV/gp120/MF59,post-3rd immunization,24 hours,2,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV/gp120/MF59 boosting (week 12),GPL10558
P162_R159_post1st,post-1st immunization blood sample from donor R159,Blood sample from donor R159,Macaca mulatta,9231092091_J_Grn.idat,Blood,R159,ALVAC-SIV/gp120/MF59,post-1st immunization,24 hours,2,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
P162_R159_prevax,pre-vaccination blood sample from donor R159,Blood sample from donor R159,Macaca mulatta,9236415053_H_Grn.idat,Blood,R159,ALVAC-SIV/gp120/MF59,pre-vaccination,pre,2,total RNA,biotin,pre-vaccination blood transcriptional profilling,GPL10558
P162_R159_post3rd,post-3rd immunization blood sample from donor R159,Blood sample from donor R159,Macaca mulatta,9236415101_A_Grn.idat,Blood,R159,ALVAC-SIV/gp120/MF59,post-3rd immunization,24 hours,2,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV/gp120/MF59 boosting (week 12),GPL10558
P162_R163_post1st,post-1st immunization blood sample from donor R163,Blood sample from donor R163,Macaca mulatta,9231092020_E_Grn.idat,Blood,R163,ALVAC-SIV/gp120/Alum,post-1st immunization,24 hours,5,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV priming (week 0),GPL10558
P162_R163_prevax,pre-vaccination blood sample from donor R163,Blood sample from donor R163,Macaca mulatta,9252621074_D_Grn.idat,Blood,R163,ALVAC-SIV/gp120/Alum,pre-vaccination,pre,5,total RNA,biotin,pre-vaccination blood transcriptional profilling,GPL10558
P162_R163_post3rd,post-3rd immunization blood sample from donor R163,Blood sample from donor R163,Macaca mulatta,9252621091_E_Grn.idat,Blood,R163,ALVAC-SIV/gp120/Alum,post-3rd immunization,24 hours,5,total RNA,biotin,transcriptional profilling of blood taken 24h post-ALVAC-SIV/gp120/Alum boosting (week 12),GPL10558
